Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,period
all i want to do,sugarland,34.0,0.782,0.721,97.022,0.226,0.704,213360.0,4.3e-05,0.154,-4.855,0.0619,1.0,Love On The Inside,2008.0,pre_ai
all kinds of kinds,miranda lambert,45.0,0.461,0.741,157.166,0.12,0.392,266947.0,1.34e-06,0.132,-4.01,0.0325,1.0,Four The Record,2013.0,pre_ai
all me,drake,63.0,0.429,0.511,122.029,0.0689,0.669,271573.0,0.0,0.181,-6.943,0.395,1.0,Nothing Was The Same (Deluxe),2013.0,pre_ai
all my friends say,luke bryan,60.0,0.962,0.9,117.036,0.0439,0.683,242800.0,0.0,0.177,-4.422,0.0333,1.0,I'll Stay Me,2007.0,pre_ai
all night,beyonce,69.0,0.626,0.573,136.304,0.392,0.574,322000.0,2.16e-05,0.0933,-7.079,0.085,1.0,Lemonade,2016.0,post_ai
all or nothing,theory of a deadman,43.0,0.339,0.803,152.062,0.0234,0.417,210560.0,0.0,0.0763,-4.441,0.0308,0.0,Scars & Souvenirs,2008.0,pre_ai
all over me,josh turner,26.0,0.899,0.764,84.907,0.417,0.569,199493.0,0.00422,0.197,-7.295,0.0346,1.0,Haywire (Deluxe Edition),2010.0,pre_ai
all summer long,kid rock,74.0,0.887,0.864,102.997,0.0212,0.7,297587.0,0.0,0.0956,-3.629,0.0283,1.0,Rock N Roll Jesus,2007.0,pre_ai
all that matters,justin bieber,65.0,0.142,0.505,129.873,0.00541,0.699,191173.0,0.0,0.0703,-5.796,0.0502,1.0,Journals,2013.0,pre_ai
all the above,maino,22.0,0.422,0.725,149.342,0.0888,0.499,311147.0,0.0,0.364,-10.568,0.103,1.0,Black Flag City,2009.0,pre_ai
all the pretty girls,kenny chesney,70.0,0.719,0.848,120.996,0.00916,0.612,212893.0,0.0,0.366,-3.736,0.0368,1.0,Cosmic Hallelujah,2016.0,post_ai
all the right moves,onerepublic,3.0,0.651,0.948,146.036,0.259,0.528,238000.0,1e-05,0.283,-3.522,0.0475,1.0,Deluxe Version (Edited),2009.0,pre_ai
all the small things,blink,80.0,0.684,0.897,148.726,0.0103,0.434,167067.0,0.0,0.612,-4.918,0.0488,1.0,Enema Of The State,2000.0,pre_ai
all the things she said,t.a.t.u.,52.0,0.421,0.833,180.148,0.0303,0.522,213867.0,0.00233,0.103,-5.779,0.0431,0.0,200 KM/H In The Wrong Lane,2002.0,pre_ai
all the way home,tamar braxton,53.0,0.254,0.663,107.99,0.0807,0.652,262227.0,2.59e-06,0.0805,-5.318,0.0378,0.0,Love and War,2013.0,pre_ai
all the way turnt up,roscoe dash,13.0,0.738,0.964,132.013,0.000892,0.513,293720.0,0.0,0.265,-2.852,0.0828,0.0,Ready Set Go! (Explicit Version),2010.0,pre_ai
