Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,RiaaStatus,Label,period
get it together,drake,71.0,0.844,0.729,123.009,0.0896,0.78,250337.0,0.422,0.104,-9.138,0.0493,0,More Life,2017.0,,,post_ai
get right witcha,migos,68.0,0.62,0.743,136.98,0.0646,0.95,257546.0,1.19e-05,0.103,-5.861,0.238,0,Culture,2017.0,Gold,Quality Control Music / 300 Entertainment,post_ai
girls like you,maroon 5,18.333333333333332,0.40900000000000003,0.4866666666666667,60.02199999999999,0.5526666666666668,0.6253333333333334,222045.66666666666,3.366666666666667e-07,0.12966666666666668,-6.992666666666667,0.07536666666666668,1,Red Pill Blues (Deluxe),2018.0,1x Platinum,222 Records / Interscope,post_ai
glow,drake,59.0,0.391,0.385,162.039,0.227,0.669,206120.0,0.0,0.7,-8.901,0.378,1,More Life,2017.0,,,post_ai
go get it,t.i.,57.0,0.51,0.667,76.627,0.00212,0.366,217520.0,0.0,0.398,-5.683,0.246,1,Trouble Man: Heavy is the Head,2018.0,,,post_ai
god's plan,drake,86.0,0.357,0.44900000000000007,77.169,0.0332,0.754,198973.0,8.29e-05,0.552,-9.211,0.109,1,Scorpion,2018.0,8x Multi-Platinum,Young Money / Cash Money / Republic Records,post_ai
god.,kendrick lamar,65.0,0.205,0.557,132.98,0.0347,0.706,248827.0,0.0,0.276,-5.8,0.0813,1,DAMN.,2017.0,Gold,Tde / Aftermath / Interscope,post_ai
good form,nicki minaj,57.0,0.288,0.775,96.504,0.114,0.88,199400.0,0.00267,0.0944,-5.133,0.09400000000000001,1,Queen (Deluxe),2018.0,,,post_ai
gorgeous,taylor swift,67.0,0.451,0.535,92.027,0.0713,0.8,209680.0,9.48e-06,0.213,-6.684,0.135,1,reputation,2017.0,Gold,Big Machine Records,post_ai
gotta lotta,2 chainz,52.0,0.177,0.608,81.969,0.00282,0.681,214720.0,0.0,0.0869,-7.344,0.0504,0,COLLEGROVE,2016.0,,,post_ai
grammys,drake,48.0,0.116,0.43,145.802,0.00199,0.676,220427.0,2.46e-06,0.08,-9.533,0.525,1,Views,2016.0,,,post_ai
grass ain't greener,chris brown,55.0,0.512,0.601,133.954,0.39,0.651,201422.0,0.0,0.0882,-5.097,0.0497,0,Heartbreak on a Full Moon,2016.0,1x Platinum,Rca,post_ai
greatest,eminem,73.0,0.367,0.737,80.025,0.0441,0.809,226938.0,0.0,0.341,-5.186,0.108,1,Kamikaze,2018.0,,,post_ai
gyalchester,drake,71.0,0.156,0.389,131.012,0.0343,0.872,189230.0,0.000679,0.09410000000000002,-8.343,0.0634,1,More Life,2017.0,1x Platinum,Young Money / Cash Money / Republic Records,post_ai
halfway off the balcony,big sean,55.0,0.136,0.809,125.285,0.36,0.529,230960.0,0.0,0.242,-6.554,0.269,1,I Decided.,2017.0,,,post_ai
handclap,fitz and the tantrums,68.0,0.715,0.836,139.956,0.00609,0.636,193253.0,0.000157,0.0828,-3.004,0.0427,1,Fitz and The Tantrums (Deluxe),2016.0,,,post_ai
hangin' on,chris young,68.0,0.596,0.831,156.034,0.0651,0.43400000000000005,185440.0,0.0,0.119,-4.774,0.0453,1,Losing Sleep,2018.0,,,post_ai
happier,ed sheeran,84.0,0.236,0.385,89.792,0.536,0.522,207520.0,0.0,0.135,-7.355,0.0288,1,÷ (Deluxe),2017.0,1x Platinum,Atlantic Records,post_ai
hard times,paramore,73.0,0.916,0.818,119.965,0.00647,0.695,182693.0,4.87e-06,0.0219,-5.379,0.0334,0,After Laughter,2017.0,Gold,Fueled by Ramen,post_ai
have it all,jason mraz,69.0,0.6,0.638,82.001,0.204,0.643,226107.0,0.0,0.0707,-4.947,0.0407,0,Know.,2018.0,Gold,Atlantic Records,post_ai
head above water,avril lavigne,75.0,0.268,0.694,129.921,0.0112,0.578,220850.0,0.0,0.102,-5.351,0.0706,1,Head Above Water,2018.0,,,post_ai
hearts don't break around here,ed sheeran,72.0,0.181,0.366,105.177,0.719,0.604,248413.0,0.0,0.162,-7.881,0.0267,1,÷ (Deluxe),2017.0,Gold,Atlantic Records,post_ai
heatstroke,calvin harris,60.0,0.713,0.728,110.165,0.34,0.784,229160.0,0.0,0.222,-4.549,0.0539,0,Funk Wav Bounces Vol.1,2017.0,,,post_ai
