ranking,song,band_singer,titletext,year,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
45,Fiesta,R. Kelly,Fiesta,2001,0.92,0.487,-5.578,0.0,0.182,0.0103,0.0,0.0411,0.806,92.836,241400.0
46,When It's Over,Sugar Ray,When It's Over,2001,0.675,0.775,-5.772,1.0,0.0522,0.0387,0.0,0.383,0.933,99.945,217853.0
47,Jaded,Aerosmith,Jaded,2001,0.518,0.866,-4.476,1.0,0.0509,0.00413,1.93e-05,0.246,0.671,117.983,215824.0
48,Promise,Jagged Edge,Promise,2001,0.751,0.5680000000000001,-5.431,0.0,0.0872,0.136,0.0,0.0288,0.646,128.002,246720.0
49,Missing You,Case,Missing You,2001,0.612,0.579,-6.417,0.0,0.0553,0.285,0.0,0.0556,0.716,86.31,284667.0
50,Differences,Ginuwine,Differences,2001,0.562,0.594,-4.578,0.0,0.0558,0.318,0.0,0.311,0.423,62.876,265533.0
51,This I Promise You,NSYNC,This I Promise You,2001,0.55,0.587,-6.279,1.0,0.0329,0.354,0.0,0.128,0.466,165.975,284760.0
52,Izzo (H.O.V.A.),Jay-Z,Izzo (H.O.V.A.),2001,0.618,0.844,-4.051,0.0,0.342,0.0178,0.000126,0.0634,0.6970000000000001,84.411,240627.0
53,Superwoman Pt. II,Lil' Mo,Superwoman Pt. II,2001,0.768,0.541,-5.183,0.0,0.1,0.286,0.0,0.107,0.645,95.715,265588.0
54,Crazy for This Girl,Evan and Jaron,Crazy for This Girl,2001,0.457,0.926,-5.461,1.0,0.038,0.0004869999999999,5.69e-05,0.0949,0.41,93.964,202027.0
55,Nobody Wants to Be Lonely,Ricky Martin,Nobody Wants to Be Lonely,2001,0.635,0.854,-5.02,0.0,0.0612,0.00579,0.0083,0.0623,0.59,100.851,252707.0
56,I Just Wanna Love U (Give It 2 Me),Jay-Z,I Just Wanna Love U (Give It 2 Me),2001,0.8,0.922,-5.125,0.0,0.24,0.301,9.31e-06,0.0352,0.801,98.631,227867.0
57,One Minute Man,Missy Elliott,One Minute Man,2001,0.622,0.669,-8.419,1.0,0.329,0.0266,2.97e-06,0.152,0.5700000000000001,93.839,252987.0
58,Danger (Been So Long),Mystikal,Danger (Been So Long),2001,0.92,0.861,-5.435,1.0,0.218,0.211,2.59e-05,0.0288,0.718,97.969,211400.0
59,Only Time,Enya,Only Time,2001,0.418,0.249,-13.744,1.0,0.0301,0.841,0.661,0.112,0.213,82.803,218547.0
60,I Do!!,Toya,I Do!!,2001,0.781,0.583,-7.83,0.0,0.0628,0.0859,0.00216,0.058,0.91,156.264,213493.0
61,Never Had a Dream Come True,S Club 7,Never Had a Dream Come True,2001,0.639,0.534,-5.588,1.0,0.0281,0.508,0.0,0.0948,0.434,122.931,240492.0
62,Stranger in My House,Tamia,Stranger in My House,2001,0.676,0.601,-4.905,1.0,0.0297,0.103,0.0,0.147,0.206,119.94,285387.0
63,Irresistible,Jessica Simpson,Irresistible,2001,0.659,0.966,-2.783,0.0,0.0538,0.0279,8.25e-05,0.0489,0.687,93.008,193600.0
64,Heard It All Before,Sunshine Anderson,Heard It All Before,2001,0.6970000000000001,0.925,-4.209,0.0,0.216,0.0614,0.0,0.095,0.678,96.951,295827.0
65,The Space Between,Dave Matthews Band,The Space Between,2001,0.406,0.73,-6.2780000000000005,1.0,0.0315,0.0471,0.0,0.229,0.207,170.032,242000.0
66,There You'll Be,Faith Hill,There You'll Be,2001,0.325,0.532,-7.208,1.0,0.0308,0.496,0.0,0.134,0.162,129.021,220840.0
67,Love,Musiq Soulchild,Love,2001,0.5690000000000001,0.385,-9.919,0.0,0.0499,0.342,0.0,0.0876,0.339,99.738,304667.0
69,No More (Baby I'ma Do Right),3LW,No More (Baby I'ma Do Right),2001,0.721,0.723,-7.08,0.0,0.0631,0.102,4.4e-06,0.0651,0.761,88.933,263440.0
70,Turn Off the Light,Nelly Furtado,Turn Off the Light,2001,0.589,0.687,-6.222,1.0,0.097,0.0778,0.000289,0.419,0.649,180.215,276067.0
72,Play,Jennifer Lopez,Play,2001,0.775,0.729,-4.229,0.0,0.162,0.0303,0.00247,0.0361,0.895,104.719,211493.0
73,I'm Already There,Lonestar,I'm Already There,2001,0.61,0.446,-6.258,1.0,0.0655,0.916,0.0,0.221,0.611,133.56,271893.0
74,My Baby,Lil' Romeo,My Baby,2001,0.8200000000000001,0.761,-2.714,1.0,0.219,0.0481,0.0,0.218,0.584,97.423,221000.0
75,Beautiful Day,U2,Beautiful Day,2001,0.539,0.926,-6.495,1.0,0.0499,0.014,0.00136,0.36,0.454,136.279,246400.0
76,Austin,Blake Shelton,Austin,2001,0.605,0.609,-7.063,1.0,0.0278,0.188,0.0,0.0982,0.275,119.914,230333.0
77,Southern Hospitality,Ludacris,Southern Hospitality,2001,0.623,0.896,-4.719,1.0,0.247,0.035,0.0,0.0941,0.613,95.158,300933.0
78,Grown Men Don't Cry,Tim McGraw,Grown Men Don't Cry,2001,0.657,0.513,-8.514,1.0,0.024,0.199,0.0,0.0994,0.56,101.815,235760.0
79,Livin' It Up,Ja Rule,Livin' It Up,2001,0.875,0.774,-4.087,1.0,0.309,0.0547,0.0,0.0414,0.606,106.027,257133.0
80,Loverboy,Mariah Carey,Loverboy,2001,0.721,0.79,-4.125,1.0,0.124,0.183,0.0,0.1,0.8210000000000001,103.141,229173.0
81,Contagious,The Isley Brothers,Contagious,2001,0.709,0.449,-7.251,0.0,0.04,0.24,0.0,0.134,0.204,113.023,346467.0
82,Who I Am,Jessica Andrews,Who I Am,2001,0.463,0.674,-5.422,1.0,0.0319,0.0115,0.0,0.123,0.259,84.039,255234.0
